pc sl klr kgr
  0.000000000000000e+00   1.000000000000000e+00   1.000000000000000e+00   1.000027504128112e-03
  0.000000000000000e+00   1.000000000000000e+00   1.000000000000000e+00   1.000027504128112e-03
  3.000000000000000e-01   9.999999999992457e-01   9.999999999999992e-01   1.000027504128848e-03
  6.000000000000000e-01   9.999999999905131e-01   9.999999999999906e-01   1.000027504137618e-03
  8.999999999999999e-01   9.999999999251704e-01   9.999999999999252e-01   1.000027504202970e-03
  1.200000000000000e+00   9.999999995652258e-01   9.999999999995652e-01   1.000027504563118e-03
  1.500000000000000e+00   9.999999979839668e-01   9.999999999979839e-01   1.000027506145270e-03
  1.800000000000000e+00   9.999999921454941e-01   9.999999999921455e-01   1.000027511986951e-03
  2.100000000000000e+00   9.999999733582106e-01   9.999999999733582e-01   1.000027530784568e-03
  2.400000000000000e+00   9.999999192822382e-01   9.999999999192822e-01   1.000027584890260e-03
  2.700000000000000e+00   9.999997773408510e-01   9.999999997773407e-01   1.000027726909755e-03
  3.000000000000000e+00   9.999994325394167e-01   9.999999994325391e-01   1.000028071900783e-03
  3.300000000000000e+00   9.999986484551547e-01   9.999999986484548e-01   1.000028856416269e-03
  3.600000000000000e+00   9.999969640685058e-01   9.999999969640678e-01   1.000030541729324e-03
  3.900000000000000e+00   9.999935206164318e-01   9.999999935206152e-01   1.000033987075366e-03
  4.200000000000000e+00   9.999867811263131e-01   9.999999867811238e-01   1.000040730272799e-03
  4.500000000000000e+00   9.999740900236461e-01   9.999999740900187e-01   1.000053428357931e-03
  4.800000000000000e+00   9.999510004321063e-01   9.999999510004229e-01   1.000076530657635e-03
  5.100000000000000e+00   9.999102717491491e-01   9.999999102717323e-01   1.000117281771332e-03
  5.399999999999999e+00   9.998404091918448e-01   9.999998404091618e-01   1.000187182847025e-03
  5.700000000000000e+00   9.997235801418732e-01   9.999997235800897e-01   1.000304076430449e-03
  6.000000000000000e+00   9.995327002413851e-01   9.999995327001530e-01   1.000495062093192e-03
  6.300000000000000e+00   9.992274385630111e-01   9.999992274384163e-01   1.000800493751449e-03
  6.600000000000000e+00   9.987488536019863e-01   9.999987488533627e-01   1.001279347301812e-03
  6.899999999999999e+00   9.980123566094438e-01   9.999980123562251e-01   1.002016262682107e-03
  7.199999999999999e+00   9.968987371672563e-01   9.999968987365575e-01   1.003130526565340e-03
  7.500000000000000e+00   9.952431335958825e-01   9.999952431326368e-01   1.004787115140186e-03
  7.800000000000000e+00   9.928221790156569e-01   9.999928221775131e-01   1.007209570066149e-03
  8.100000000000000e+00   9.893402353104244e-01   9.999893402329540e-01   1.010693803070790e-03
  8.400000000000000e+00   9.844167976982255e-01   9.999844167939715e-01   1.015620762232036e-03
  8.699999999999999e+00   9.775789093801920e-01   9.999775789033816e-01   1.022464153793895e-03
  9.000000000000000e+00   9.682646060032654e-01   9.999682645960555e-01   1.031787273147761e-03
  9.299999999999999e+00   9.558452460535777e-01   9.999558452287928e-01   1.044221257440414e-03
  9.600000000000000e+00   9.396743754772996e-01   9.999396743435379e-01   1.060417515896916e-03
  9.900000000000000e+00   9.191661250375928e-01   9.999191660606380e-01   1.080972349996101e-03
  1.020000000000000e+01   8.938955714684316e-01   9.998938954269523e-01   1.106333950753990e-03
  1.050000000000000e+01   8.636994182441980e-01   9.998636990515420e-01   1.136720391556656e-03
  1.080000000000000e+01   8.287456969496149e-01   9.998287446391265e-01   1.172098795263143e-03
  1.110000000000000e+01   7.895453755216186e-01   9.997895419334724e-01   1.212303962693895e-03
  1.140000000000000e+01   7.468985363975074e-01   9.997468861508930e-01   1.257440225671758e-03
  1.170000000000000e+01   7.017925216072469e-01   9.997017445882880e-01   1.308899696901289e-03
  1.200000000000000e+01   6.552839908375714e-01   9.996550905666902e-01   1.371814228091850e-03
  1.230000000000000e+01   6.083946798209537e-01   9.996076052538593e-01   1.460804046931941e-03
  1.260000000000000e+01   5.620374868230656e-01   9.995588666763526e-01   1.612777753025707e-03
  1.290000000000000e+01   5.169755050657403e-01   9.995047252038203e-01   1.913236505313165e-03
  1.320000000000000e+01   4.738079935028569e-01   9.994290969801184e-01   2.544887500574244e-03
  1.350000000000000e+01   4.329746050882217e-01   9.992808569367885e-01   3.866001662702345e-03
  1.380000000000000e+01   3.947701503292607e-01   9.989167844163630e-01   6.514703130055199e-03
  1.410000000000000e+01   3.593643693448496e-01   9.979807454657923e-01   1.150745096627714e-02
  1.440000000000000e+01   3.268232445090652e-01   9.956928101835548e-01   2.025661755477692e-02
  1.470000000000000e+01   2.971298534541924e-01   9.905772174309851e-01   3.440070057460298e-02
  1.500000000000000e+01   2.702036682307417e-01   9.803145701971926e-01   5.538623957039279e-02
  1.530000000000000e+01   2.459177297086779e-01   9.621140185926368e-01   8.391198014034140e-02
  1.560000000000000e+01   2.241134328573772e-01   9.338885831695565e-01   1.195412239237452e-01
  1.590000000000000e+01   2.046128548206247e-01   8.956468403530938e-01   1.607583550013740e-01
  1.620000000000000e+01   1.872286966700946e-01   8.497702741146301e-01   2.054349369554878e-01
  1.650000000000000e+01   1.717720113900750e-01   7.998405656721046e-01   2.513996572913335e-01
  1.680000000000000e+01   1.580579602964076e-01   7.491979361952045e-01   2.968359311997979e-01
  1.710000000000000e+01   1.459098794557050e-01   7.002218948649825e-01   3.404345031124394e-01
  1.740000000000000e+01   1.351619497996405e-01   6.543040915836229e-01   3.813722997157862e-01
  1.770000000000000e+01   1.256607547742371e-01   6.121019535162345e-01   4.192143313050356e-01
  1.800000000000000e+01   1.172659840471637e-01   5.738064460866715e-01   4.538030912326292e-01
